city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type
凉山,四川,西部,150,0.0133333333,8.6562724079,-0.8845475890,3.3994944637,high,high,middle,高 GDI × 高 Exposure
包头,内蒙古,西部,433,0.0000000000,8.3431201452,-0.9916509117,3.1680156851,low,middle,middle,低 GDI × 低 Exposure
北京,北京,东部,27472,0.0290113570,9.8365154272,1.4341431925,4.0978192798,high,high,high,高 GDI × 高 Exposure
北屯,新疆,西部,1,0.0000000000,7.0947263136,-1.1643578978,0.0000000000,low,low,low,低 GDI × 低 Exposure
北海,广西,西部,352,0.0000000000,8.3137121969,-1.4548323482,3.6308862229,low,middle,low,低 GDI × 低 Exposure
十堰,湖北,中部,611,0.0032733224,8.6463695656,-0.2280558737,3.7256178018,middle,high,high,高 GDI × 高 Exposure
南京,江苏,东部,25508,0.0138387957,9.0731096166,0.3709999179,4.0394279628,high,high,high,高 GDI × 高 Exposure
南充,四川,西部,492,0.0000000000,8.6073108131,-0.4374619691,3.6467398253,low,middle,middle,低 GDI × 高 Exposure
南宁,广西,西部,4346,0.0138057984,9.0149630476,-0.3946951844,3.8566022506,high,high,middle,高 GDI × 高 Exposure
南平,福建,东部,198,0.0000000000,8.7094615347,-1.9263472250,3.6256386047,low,high,low,低 GDI × 高 Exposure
南昌,江西,中部,5369,0.0065189048,8.7739496596,-0.0232600352,3.9028621190,high,high,high,高 GDI × 高 Exposure
南通,江苏,东部,12469,0.0037693480,7.8495840980,-0.7805231455,3.8982449126,middle,low,middle,高 GDI × 低 Exposure
南阳,河南,中部,862,0.0046403712,8.1497689573,-2.5552427496,3.1004714905,high,low,low,高 GDI × 低 Exposure
博尔塔拉,新疆,西部,12,0.0000000000,7.5412143744,-1.0161207428,2.4471513083,low,low,low,低 GDI × 低 Exposure
厦门,福建,东部,4717,0.0127199491,9.0505468907,0.3663838530,4.0167715759,high,high,high,高 GDI × 高 Exposure
双河,新疆,西部,1,0.0000000000,8.3392976780,-0.4712487907,0.6931471806,low,middle,middle,低 GDI × 低 Exposure
双鸭山,黑龙江,东北,31,0.0000000000,8.0625356852,-0.5509803287,2.6472082086,low,low,middle,低 GDI × 低 Exposure
可克达拉,新疆,西部,7,0.0000000000,10.5091056018,-0.7739071811,1.9072839993,low,high,middle,低 GDI × 高 Exposure
台州,浙江,东部,3278,0.0015253203,8.0909223029,-0.4366496416,3.8618271006,middle,low,middle,高 GDI × 低 Exposure
合肥,安徽,中部,16133,0.0103514535,8.6579327162,0.0735715919,3.9788688701,high,high,high,高 GDI × 高 Exposure
吉安,江西,中部,1460,0.0061643836,8.3141332396,-0.4158809749,3.8369561851,high,middle,middle,高 GDI × 低 Exposure
吉林,吉林,东北,318,0.0031446541,8.3380340839,-0.8688943563,3.2786512869,middle,middle,middle,高 GDI × 低 Exposure
吉林省,吉林,未知,131,0.0000000000,8.2593328369,0.3550533476,2.7915005550,low,middle,high,低 GDI × 低 Exposure
吐鲁番,新疆,西部,29,0.0000000000,7.2942821503,-0.9458583393,2.7729734675,low,low,middle,低 GDI × 低 Exposure
吕梁,山西,中部,196,0.0000000000,7.5457464146,-3.2556466047,2.9278925679,low,low,low,低 GDI × 低 Exposure
吴忠,宁夏,西部,106,0.0094339623,8.4879472328,-1.2072313616,3.0605333786,high,middle,low,高 GDI × 高 Exposure
周口,河南,中部,514,0.0000000000,7.9641340549,-3.1959058375,3.2935847816,low,low,low,低 GDI × 低 Exposure
