city,province,region_std,city_job_count,GDI_c,Exposure_c,SRI_c,entropy_c,GDI_group,Exposure_group,SRI_group,city_type,n_c,city_display_weight,GDI_c_weighted_display,Exposure_c_weighted_display,SRI_c_weighted_display,entropy_c_weighted_display,GDI_rank_raw,GDI_rank_weighted,SRI_rank_raw,SRI_rank_weighted,small_sample_threshold,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c_penalty_display,GDI_rank_penalty,Exposure_c_penalty_display,Exposure_rank_raw,Exposure_rank_penalty,SRI_c_penalty_display,SRI_rank_penalty,entropy_c_penalty_display,entropy_rank_raw,entropy_rank_penalty
丽水,浙江,东部,672,0.0014880952,8.4743123519,-0.7944954608,3.7666770186,middle,middle,middle,高 GDI × 高 Exposure,672,0.0701371572745697,0.0001043707670819,0.5943641782190392,-0.0557236530880613,0.2641840184560556,150.0,153.0,182.0,212.0,1000,0.8197560612767679,1,0.0012198750599568642,152.0,6.946868915622607,139.0,119.0,-0.6512924696476787,229.0,3.087756316869255,89.0,114.0
丽江,云南,西部,154,0.0,8.7673177609,-0.3411764628,3.1990993132,low,high,high,低 GDI × 高 Exposure,154,0.0335756078178213,0.0,0.2943680227541981,-0.0114552071116443,0.1074117039102648,165.0,165.0,90.0,80.0,1000,0.3924283374069717,1,0.0,165.0,3.4405439324286005,68.0,243.0,-0.13388731205899554,85.0,1.255417224678861,253.0,249.0
义乌,浙江,东部,882,0.0068027211,8.748884354,-0.7137054349,3.7987650231,high,high,middle,高 GDI × 高 Exposure,882,0.0803522080599346,0.0005466136612009,0.7029921759049146,-0.0573478075985909,0.3052391575069335,46.0,54.0,167.0,216.0,1000,0.9391485505499116,1,0.006388765660860301,38.0,8.2165020599879,73.0,74.0,-0.6702754247059294,233.0,3.5676046653240667,77.0,95.0
乌兰察布,内蒙古,西部,199,0.0,7.5402659009,-2.0695116099,3.2263791435,low,low,low,低 GDI × 低 Exposure,199,0.0381671789568639,0.0,0.2877906780219895,-0.0789874199683609,0.123141790152658,165.0,165.0,304.0,249.0,1000,0.44609416046390926,1,0.0,165.0,3.363668586736628,330.0,244.0,-0.9231970441886539,270.0,1.4392688953578991,249.0,233.0
乌海,内蒙古,西部,56,0.0,7.7232185106,-0.2686231405,2.9712875713,low,low,high,低 GDI × 低 Exposure,56,0.0202468533163339,0.0,0.1563708723141135,-0.0054387733230764,0.0601592236167573,165.0,165.0,75.0,51.0,1000,0.23664319132398465,1,0.0,165.0,1.8276470756408556,317.0,313.0,-0.06356783723139112,52.0,0.7031349732137235,299.0,305.0
乌鲁木齐,新疆,西部,1696,0.0035377358,9.1337139158,0.4523813191,3.5998931201,middle,high,high,高 GDI × 高 Exposure,1696,0.1114234103852677,0.000394186587878,1.0177095539818144,0.050405869368708,0.4011123684640043,92.0,67.0,10.0,15.0,1000,1.0,0,0.0035377358,72.0,9.1337139158,25.0,11.0,0.4523813191,6.0,3.5998931201,148.0,92.0
乐山,四川,西部,452,0.0066371681,9.0295308703,-0.7688217186,3.6634031585,high,high,middle,高 GDI × 高 Exposure,452,0.0575218361153181,0.000381782095718,0.5193951949196028,-0.0442240368992064,0.2107256761075759,48.0,69.0,179.0,186.0,1000,0.6723094525588644,1,0.0044622308518521584,59.0,6.07063895627476,36.0,132.0,-0.5168861087473313,201.0,2.46294057199355,125.0,140.0
九江,江西,中部,1405,0.0142348754,8.7190564898,-0.4837009742,3.8791665985,high,high,middle,高 GDI × 高 Exposure,1405,0.101414880938618,0.001443628193867,0.8842420758101517,-0.0490544767083865,0.3934052187279413,8.0,32.0,116.0,198.0,1000,1.0,0,0.0142348754,3.0,8.7190564898,79.0,36.0,-0.4837009742,191.0,3.8791665985,44.0,42.0
云浮,广东,东部,367,0.0,8.4389804171,-0.1399796669,3.7329866594,low,middle,high,低 GDI × 高 Exposure,367,0.0518318315050193,0.0,0.4374078110532848,-0.0072554025088895,0.1934875355405057,165.0,165.0,50.0,58.0,1000,0.6058052492344383,1,0.0,165.0,5.11237863486581,153.0,164.0,-0.08480041699410816,62.0,2.26146291358665,104.0,156.0
亳州,安徽,中部,319,0.0,8.0124643532,-1.4387394162,3.589131866,low,low,low,低 GDI × 低 Exposure,319,0.0483235536844746,0.0,0.3871907513167996,-0.0695250014167104,0.1734396064073096,165.0,165.0,259.0,238.0,1000,0.5648008498577175,1,0.0,165.0,4.525446676142027,274.0,194.0,-0.8126012449935563,253.0,2.0271447281682153,151.0,182.0
