city,province,city_job_count,small_sample_penalty_weight,small_sample_penalty_flag,GDI_c,GDI_rank_raw,GDI_rank_penalty,SRI_c,SRI_rank_raw,SRI_rank_penalty,entropy_c,entropy_rank_raw,entropy_rank_penalty,GDI_rank_change,SRI_rank_change,entropy_rank_change
兴安盟,内蒙古,35,0.18708286933869708,1,0.0,165.0,165.0,-0.6056921021,147.0,80.0,3.1262545923,271.0,318.0,0.0,-67.0,47.0
内江,四川,404,0.6356099432828282,1,0.0024752475,120.0,138.0,-0.4016929729,102.0,119.0,3.6775044178,121.0,148.0,18.0,17.0,27.0
凉山,四川,230,0.47958315233127197,1,0.0086956522,38.0,61.0,-0.5020765642,121.0,117.0,3.4563535825,191.0,216.0,23.0,-4.0,25.0
包头,内蒙古,433,0.6580273550544841,1,0.0,165.0,165.0,-0.9760976988,211.0,223.0,3.1680156851,260.0,174.0,0.0,12.0,-86.0
北京,北京,27472,1.0,0,0.029011357,1.0,1.0,1.4431886966,1.0,1.0,4.0978192798,2.0,2.0,0.0,0.0,0.0
北海,广西,352,0.593295878967653,1,0.0,165.0,165.0,-1.4406602451,260.0,261.0,3.6308862229,134.0,162.0,0.0,1.0,28.0
十堰,湖北,611,0.7816648898345121,1,0.0032733224,100.0,96.0,-0.2077669868,65.0,92.0,3.7256178018,107.0,121.0,-4.0,27.0,14.0
南京,江苏,26215,1.0,0,0.0135418653,12.0,6.0,0.393955943,15.0,10.0,4.0344882911,7.0,7.0,-6.0,-5.0,0.0
南充,四川,492,0.7014271166700072,1,0.0,165.0,165.0,-0.4186302484,106.0,141.0,3.6467398253,130.0,136.0,0.0,35.0,6.0
南宁,广西,4527,1.0,0,0.0136956042,10.0,4.0,-0.3636107494,95.0,161.0,3.8509695922,50.0,48.0,-6.0,66.0,-2.0
南平,福建,198,0.4449719092257398,1,0.0,165.0,165.0,-1.9138002781,296.0,260.0,3.6256386047,136.0,218.0,0.0,-36.0,82.0
南昌,江西,5609,1.0,0,0.0062399715,50.0,39.0,0.0320895711,35.0,33.0,3.894699534,36.0,36.0,-11.0,-2.0,0.0
南通,江苏,12469,1.0,0,0.003769348,87.0,64.0,-0.7640553586,178.0,249.0,3.8982449126,34.0,34.0,-23.0,71.0,0.0
南阳,河南,907,0.9523654760647301,1,0.0044101433,76.0,60.0,-2.7157715544,319.0,343.0,3.1051534048,276.0,119.0,-16.0,24.0,-157.0
博尔塔拉,新疆,12,0.10954451150103323,1,0.0,165.0,165.0,-1.000347361,217.0,76.0,2.4471513083,329.0,335.0,0.0,-141.0,6.0
厦门,福建,4717,1.0,0,0.0127199491,16.0,9.0,0.3822810287,16.0,11.0,4.0167715759,10.0,10.0,-7.0,-5.0,0.0
