crawl_time,crawl_date,publish_time,publish_date,source_site,source_file,keyword,city,city_clean,job_title,company_name,salary,salary_avg,experience,education,raw_tags,skills,job_url
2026-04-18T12:10:41,2026-04-18,2026-03-05 10:20:25,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,北京,北京,数据分析专员/主管,武汉科利医药,8千-1.5万,8000,3年及以上,本科,"3年及以上,本科,数据分析,医药行业,销售计划,统计分析,奖金,专业培训,技能培训,餐补,带薪年假,五险一金,通讯补贴,发展空间,晋升机会,员工活动,晋升,培训,专业精进培训,广阔发展空间,优厚的奖金",数据分析,https://jobs.51job.com/beijing/170857998.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-19 15:04:01,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,武汉·蔡甸区,武汉,区域数据分析-奕境,东风汽车集团,1-1.5万,12500,3年及以上,本科,"3年及以上,本科,计算机,数据分析,excel,sql,市场营销,营销,数学,销售数据,报告撰写,商务政策,保险,培训","SQL,Excel,数据分析",https://jobs.51job.com/wuhan-cdq/170297616.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-04-17 09:09:32,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,北京,北京,数据分析助理,四川非凡网毅科技,6-8千,7000,无需经验,大专,"无需经验,大专,数据分析,分析报告,数据,统计学,五险一金,周末双休,项目奖金,交通补助,绩效奖金,年终奖金,专业培训,全勤奖,晋升空间",数据分析,https://jobs.51job.com/beijing/168804128.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-03 11:54:42,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,上海·静安区,上海,数据分析师,上海劢联信息科技,8千-1.2万,8000,2年及以上,本科,"2年及以上,本科,数据分析,sql,市场营销,数据报表,数据清洗,o2o,分析,数据,用户画像,tableau,五险一金,定期体检","SQL,Tableau,数据分析",https://jobs.51job.com/shanghai-jaq/166378368.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-26 15:07:38,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,广州·越秀区,广州,财务数据分析,深圳市南电云商,7-8千,7500,3年及以上,本科,"3年及以上,本科,咨询服务,ipo,会计师事务所,年度审计,财报分析,单据流程,全盘账处理,整合财会数据,六险一金,带薪年假,定期体检,工会福利,生日福利",数据分析,https://jobs.51job.com/guangzhou-yxq/171280141.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-06 08:58:06,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,台州·黄岩区,台州,高级数据分析师,公元,9千-1.1万,9000,3年及以上,本科,"3年及以上,本科,计算机,采购,财务,sql,营销,研发,生产,大数据,数据统计,仓库","SQL,数据分析",https://jobs.51job.com/taizhoue-hyq/169646934.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-19 17:35:19,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,武汉·武汉经济开发区,武汉,用户数据分析工程师-奕派科技,东风汽车集团,1.5-2.5万,20000,2年,本科,"2年,本科,数据分析,汽车行业,数据收集,数据支持,数据可视化,数据清洗,产品优化,计算机科学,需求定义,bi报表开发,绩效奖金,年终奖金,定期体检,专业培训,带薪年假,节日福利,补充医疗保险,交通补贴,通讯补贴,培训",数据分析,https://jobs.51job.com/wuhan-whjj/169965190.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-03-19 13:49:57,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,昆明·官渡区,昆明,商业运营（偏数据分析）,云南新世纪滇池国际文化旅游会展投资,5-8千,6500,3年及以上,本科,"3年及以上,本科,管理,谈判,预算,财务管理,统计,报表,分析报表,运营分析,收费管理,运营分析报告,带薪年假,五险一金,带薪病假,定期体检,有餐补",数据分析,https://jobs.51job.com/kunming-gdq/170703967.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-04-15 10:45:34,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,绍兴·上虞区,绍兴,数据分析师,浙江新时代中能科技,1-2万,15000,3年及以上,本科,"3年及以上,本科,计算机,数据库,数据分析,excel,sql,ppt,经济,数学,统计分析,编程语言,带薪年假,节日福利,体检,提供单人住宿,包吃","SQL,Excel,数据分析",https://jobs.51job.com/shaoxing-syq/171607737.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
2026-04-18T12:10:41,2026-04-18,2026-04-10 06:08:07,2026-20-06,job51,jobs_raw_2026-04-18_121033.csv,数据分析,廊坊·三河市,廊坊,数据分析员,北京国英鉴经贸,4-6千,5000,1年及以上,本科,"1年及以上,本科,快销品行业,供应链",数据分析,https://jobs.51job.com/langfang-shs/171519141.html?s=sou_sou_soulb&t=0_0&req=6d1caa5c21c649558ff41448696862bc
