crawl_time,crawl_date,publish_time,publish_date,source_site,source_file,keyword,city,city_clean,job_title,company_name,salary,salary_avg,experience,education,raw_tags,skills,job_url
2026-04-18T13:47:33,2026-04-18,2026-04-16 14:23:49,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,苏州·吴中区,苏州,电气工程师,佰狮威电子工业科技（苏州）,1.1-2.2万·13薪,16500,2年及以上,本科,"2年及以上,本科,调试,plc,电气,bom表,电气自动化,伺服,eplan,触摸屏,培训,五险一金,带薪年假,绩效奖金,出差补贴,定期团建,项目奖金,定期体检,有餐补",,https://jobs.51job.com/suzhou-wzq/165955543.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-13 18:13:03,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,苏州·相城区,苏州,电气工程师,苏州明池精密科技,8千-1.5万·13薪,8000,2年及以上,本科,"2年及以上,本科,调试,产品开发,性能测试,编程语言,电气设计,技术文档,电气系统,电气系统设计,五险一金,年终奖金,绩效奖金,专业培训,带薪年假,弹性工作,周末双休,培训",,https://jobs.51job.com/suzhou-xcq/171573858.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-16 09:53:57,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,南京·浦口区,南京,电气工程师（南京）,苏州贝爱特自动化科技,1.2-2万,16000,3-4年,大专,"3-4年,大专,电气工程师,周末双休,五险一金,绩效奖金,节日福利,餐饮补贴,年终奖金,做五休二",,https://jobs.51job.com/nanjing-pkq/127225358.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-17 09:32:26,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,镇江·镇江新区,镇江,电气工程师,江苏奥特帕斯新能源科技,8千-1.5万,8000,2年及以上,大专,"2年及以上,大专,plc,电气接线,氦检机,技术支持,五险一金,年终奖金,绩效奖金,餐饮补贴,带薪年假,节日福利,周末双休",,https://jobs.51job.com/zhenjiang-zjxq/171395403.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-14 13:47:03,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,深圳·光明区,深圳,电气工程师,深圳市奥特迈智能装备,1-1.8万,14000,2年及以上,大专,"2年及以上,大专,cad,调试,电气,归档,产品设计,protel,图纸绘制,自动控制,电气标准,产品计划",,https://jobs.51job.com/shenzhen-gmq/165781457.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-13 13:43:28,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,宁波,宁波,电气工程师,宁波鲍斯能源装备,1-2万,15000,3年及以上,本科,"3年及以上,本科,电气接线,电气安全,电气原理图,全职",,https://jobs.51job.com/ningbo/171562185.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-16 08:53:33,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,上海·松江区,上海,电气工程师,上海桐檬智能科技,8千-1.5万,8000,3年及以上,大专,"3年及以上,大专,五险一金,年终奖金,节日福利,包住宿",,https://jobs.51job.com/shanghai-sjq/164816593.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-15 10:19:10,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,上海·黄浦区,上海,电气工程师,上海卓佰电气,8千-1.3万,8000,3年及以上,大专,"3年及以上,大专,办公软件,电气,质量控制,电气自动化,eplan,售前技术支持,技术,ups,电气工程师,合同审批,五险一金,定期体检,通讯补贴,带薪年假,周末双休,节日礼,生日礼,节日礼品",,https://jobs.51job.com/shanghai-hpq/168661030.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-18 12:29:36,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,苏州·苏州工业园区,苏州,电气工程师,德玛仕电液技术（苏州）,1-1.5万·13薪,12500,2年及以上,本科,"2年及以上,本科,需求分析,plc,变频器,技术文档,伺服驱动器,非标自动化,运动控制系统,西门子plc,接线图,电气系统,五险一金,定期体检,餐饮补贴,员工旅游,通讯补贴,交通补贴,节日福利,带薪年假,周末双休",,https://jobs.51job.com/suzhou-gyyq/164624970.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
2026-04-18T13:47:33,2026-04-18,2026-04-14 08:58:11,2026-20-06,job51,jobs_raw_2026-04-18_134654.csv,电气工程师,苏州·苏州工业园区,苏州,电气工程师,苏州冠韵威电子技术,9.5千-1.3万·15薪,9500,3年及以上,大专,"3年及以上,大专,cad,电气,器件布局,电气原理图,五险一金,年终奖金,专业培训,通讯补贴,交通补贴,带薪年假,周末双休,包吃",,https://jobs.51job.com/suzhou-gyyq/162660266.html?s=sou_sou_soulb&t=0_0&req=b3074d7fd53543c59f131aba71256fbf
