job_family,job_count,avg_llm_exposure_total,avg_llm_exposure_intensity,avg_llm_substitution_risk,avg_llm_augmentation_potential,genai_job_share,avg_skill_count
AI/算法,7730,26.88569428201811,33.97262613195343,5.703681241914619,39.54763260025874,0.4536869340232859,2.144372574385511
数据分析,16666,20.018303852154087,24.796639865594624,4.634503780151206,29.877859114364576,0.023160926437057482,1.9634585383415337
文案/内容/新媒体,6479,17.225976354375675,20.65855841950918,13.094480012347585,16.005124247569068,0.022534341719401142,1.6774193548387097
产品,20894,13.911089307935292,15.276691873265053,3.466411409974155,23.98661816789509,0.029482147985067483,1.8757059442902269
软件/开发/测试,61397,13.41940229001417,16.770220043324592,2.4194180171669624,20.58791146147206,0.03154877274133915,2.0553284362428133
财务/审计/法务,56412,12.89413832517904,16.244735162731335,8.370437211940722,12.291505353470892,0.002783095795220875,1.9854818123803446
运营/增长,66707,12.497255184613309,14.55489229016445,4.8477951639258245,17.972860419446235,0.011153252282369167,1.6286146881136911
人力资源/行政,89426,10.318974830586184,12.762485183280031,6.898599333527161,10.025106792208081,0.0038132086865117526,1.6403618634401629
供应链/物流/采购,86432,10.099128258052573,13.917701777119586,5.862103295075897,8.310125879303962,0.002360236949278045,1.6275222139948167
客服/销售支持,242421,8.339297678006444,8.728108538451702,2.573512228726059,14.55838066834144,0.003440296013959187,1.6010122885393592
教育/培训/研究,26049,8.09811757840992,8.830450305194057,3.1865183308380356,12.673837767284732,0.010134746055510768,1.4014357556911974
设计/创意/多媒体,18866,7.439719792218806,8.67473762323757,3.4978327149369233,9.94695218912329,0.03535460616982932,2.0330223682815647
医疗/健康/护理,56488,7.094726313553322,8.252442996742671,2.484386064296842,10.543244582920266,0.005240050984279847,1.453866307888401
制造/工程/硬件,325762,5.639646183409974,7.504176668856404,1.7719991895924019,6.924667702187487,0.0014397013770789718,1.6160694003597718
其他岗位,29947,3.347846528867666,3.390857181019802,2.047056466424016,4.8313754299262035,0.002704778441914048,0.8370454469562895
