crawl_time,crawl_date,publish_time,publish_date,source_site,source_file,keyword,city,city_clean,job_title,company_name,salary,salary_avg,experience,education,raw_tags,skills,job_url
2026-04-17T20:25:49,2026-04-17,2026-04-02 10:33:34,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,上海·浦东新区,上海,Python开发工程师,前程无忧,1.8-2.5万,21500,无需经验,本科,"无需经验,本科,五险一金,补充医疗保险,带薪年假,带薪病假,定期体检,通讯补贴",,https://51rz.51job.com/job.html?jobid=171394495
2026-04-17T20:25:49,2026-04-17,2026-04-09 08:53:53,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,东莞,东莞,Python开发工程师,广东中健检测技术,1-1.5万,12500,3年及以上,本科,"3年及以上,本科,定期体检,周末双休,带薪年假,节日福利",,https://jobs.51job.com/dongguan/170140894.html?s=sou_sou_soulb&t=0_0&req=2dfd4ea6a54644568532e00b9991ca43
2026-04-17T20:25:49,2026-04-17,2026-03-24 10:37:20,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,上海·浦东新区,上海,python开发-陆家嘴,武汉岩迪创为信息技术,1.5-3万,22500,5年及以上,大专,"5年及以上,大专,linux,redis,编程,资产管理,ai,postgresql,智能化,接口对接,接口开发,django",Linux,https://jobs.51job.com/shanghai-pdxq/171221835.html?s=sou_sou_soulb&t=0_0&req=2dfd4ea6a54644568532e00b9991ca43
2026-04-17T20:25:49,2026-04-17,2026-04-08 16:06:14,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,深圳·福田区,深圳,Python开发,深圳市紫川软件,1.3-1.5万,14000,3年及以上,本科,"3年及以上,本科,linux,git,数据结构,设计模式,docker,多线程,ai,算法,五险一金,定期体检,节日礼金卡","Linux,Docker,Git",https://jobs.51job.com/shenzhen-ftq/171486735.html?s=sou_sou_soulb&t=0_0&req=2dfd4ea6a54644568532e00b9991ca43
2026-04-17T20:25:49,2026-04-17,2026-01-15 18:12:38,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,深圳·龙岗区,深圳,python开发工程师,深圳华搜信息科技,1.2-2.4万·14薪,18000,1年及以上,本科,"1年及以上,本科,逻辑开发,代码结构,代码评审,系统架构设计,代码质量,技术方案,接口设计,技术文档,数据库建模,后端开发维护,绩效奖金,年终奖金,做五休二,五险一金,带薪年假",,https://jobs.51job.com/shenzhen-lgq/170165319.html?s=sou_sou_soulb&t=0_0&req=2dfd4ea6a54644568532e00b9991ca43
2026-04-17T20:25:59,2026-04-17,2025-12-15 21:40:20,2026-20-05,job51,jobs_raw_2026-04-17_202538.csv,python,广州·黄埔区,广州,python开发工程师,深圳市南电云商,1.3-2万,16500,3年及以上,本科,"3年及以上,本科,计算机,软件工程,性能调优,api接口,信息检索,后端服务,决策支持,agent,自动化流程,模型部署,定期体检,周末双休,节日福利,六险一金",,https://jobs.51job.com/guangzhou-hpq/165641934.html?s=sou_sou_soulb&t=0_0&req=b76fe028685a47499397ec557e738cf8
2026-04-17T20:25:59,2026-04-17,2026-04-09 18:51:00,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,广州·白云区,广州,Python数据处理工程师,广州市宝绅科技应用,5-6千,5500,1年及以上,大专,"1年及以上,大专,计算机,测试,sql,开发,svn,git,编程,关系型数据库,技术文档编写,技术分享,五险一金,带薪年假,带薪病假,出国机会,定期体检,包住,租房补贴,有餐补,专业培训,提供食宿","SQL,Git",https://jobs.51job.com/guangzhou-byq/171517146.html?s=sou_sou_soulb&t=0_0&req=b76fe028685a47499397ec557e738cf8
2026-04-17T20:25:59,2026-04-17,2026-03-26 14:40:18,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,深圳·南山区,深圳,python开发运维,广州市双照电子科技,1-2万,15000,3年及以上,本科,"3年及以上,本科,计算机,mysql,数据库,数据分析,linux,自动化,银行,通信,软件工程,shell,五险一金,带薪年假,生日福利,双休,节日补贴,员工体检,员工活动,法定节假,节假日,定期体检,定期团建,出差补贴,有餐补,零食下午茶","Linux,数据分析",https://jobs.51job.com/shenzhen-nsq/171278721.html?s=sou_sou_soulb&t=0_0&req=b76fe028685a47499397ec557e738cf8
2026-04-17T20:25:59,2026-04-17,2026-03-27 12:28:48,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,武汉·东西湖区,武汉,python开发工程师,北京机电工程研究所,1.5-2.5万,20000,1年及以上,硕士,"1年及以上,硕士",,https://jobs.51job.com/wuhan-dxhq/169787548.html?s=sou_sou_soulb&t=0_0&req=b76fe028685a47499397ec557e738cf8
2026-04-17T20:25:59,2026-04-17,2026-03-24 10:37:20,2026-20-06,job51,jobs_raw_2026-04-17_202538.csv,python,上海·浦东新区,上海,python开发-陆家嘴,武汉岩迪创为信息技术,1.5-3万,22500,5年及以上,大专,"5年及以上,大专,linux,redis,编程,资产管理,ai,postgresql,智能化,接口对接,接口开发,django",Linux,https://jobs.51job.com/shanghai-pdxq/171221835.html?s=sou_sou_soulb&t=0_0&req=b76fe028685a47499397ec557e738cf8
